handover_success_rate,ABS_QoS_DRB,DRB.RlcDelayUI,DRB.AirIfDelayUI,DRB.RlcSduDelayDl,DRB.AirIfDelayDl,ULDelay_gNBDU_Cell,DLDelay_gNBDU_Cell,Label
0.982713009,3,0.272750304,0.572960241,0.632537225,0.107848116,0.845710545,0.740385341,0
0.967780229,1,0.119130968,0.539748617,0.167884132,0.206644503,0.658879586,0.374528635,0
0.961514889,4,0.451739934,0.117654019,0.369393589,0.547330507,0.569393953,0.916724097,0
0.979143062,1,0.316612196,0.434628168,0.304070102,0.271151225,0.751240364,0.575221327,0
0.967716455,4,0.500046766,0.024202366,0.091252423,0.182570252,0.524249133,0.273822675,0
0.973985034,3,0.566300632,0.032304137,0.387736763,0.260646276,0.59860477,0.648383039,0
0.96405377,0,0.103480101,0.647939139,0.563058112,0.401838513,0.751419239,0.964896624,0
0.986921291,2,0.538790924,0.453299131,0.196990854,0.614830498,0.992090056,0.811821353,0
0.962445955,0,0.126792412,0.457548549,0.346857748,0.161950991,0.584340961,0.508808739,0
0.961488483,1,0.490523873,0.339439464,0.39788181,0.282008019,0.829963337,0.679889829,0
0.975829593,3,0.01381429,0.013155296,0.543729229,0.092843254,0.026969586,0.636572483,0
0.960454927,0,0.060535754,0.573282572,0.166428467,0.291879245,0.633818325,0.458307712,0
0.963345966,2,0.29720493,0.248329357,0.091685644,0.25198747,0.545534286,0.343673114,0
0.975643891,1,0.389786551,0.498873839,0.356349212,0.319287017,0.88866039,0.675636229,0
0.974642977,1,0.41294755,0.279995113,0.597423661,0.291845866,0.692942663,0.889269527,0
0.965388766,3,0.471315385,0.246516154,0.088237353,0.18512161,0.717831539,0.273358962,0
0.983901953,4,0.211563066,0.535688349,0.542393773,0.270418008,0.747251415,0.81281178,0
0.981950768,3,0.342264967,0.109193493,0.528477053,0.180935699,0.451458459,0.709412753,0
0.960145027,2,0.168576322,0.024202522,0.4134536,0.138543317,0.192778844,0.551996917,0
0.979581432,3,0.062162082,0.636282741,0.593047418,0.268454822,0.698444823,0.86150224,0
0.975012072,3,0.504772413,0.083225476,0.348955183,0.521645967,0.587997889,0.870601149,0
0.978885799,3,0.377924595,0.478819645,0.272238954,0.154571548,0.856744241,0.426810502,0
0.971391099,3,0.371986423,0.475228371,0.597485466,0.04276614,0.847214793,0.640251606,0
0.969970685,3,0.315936571,0.609628682,0.147538236,0.062647438,0.925565253,0.210185674,0
0.976443194,1,0.526603114,0.459435171,0.15498596,0.582817939,0.986038284,0.737803899,0
0.983845136,3,0.526886492,0.074482568,0.246721925,0.548562254,0.60136906,0.79528418,0
0.984207972,1,0.156050801,0.446968381,0.179082035,0.498545338,0.603019182,0.677627373,0
0.967879802,1,0.665825015,0.003181135,0.427714885,0.499364891,0.66900615,0.927079776,0
0.9788025,1,0.16951326,0.160338552,0.523810986,0.146410545,0.329851813,0.67022153,0
0.986893643,1,0.135802612,0.181776037,0.382936625,0.351359969,0.317578649,0.734296594,0
0.96263312,3,0.356231599,0.526721111,0.575291998,0.213249665,0.88295271,0.788541662,0
0.9827239,1,0.209524193,0.38066815,0.016473301,0.639343033,0.590192343,0.655816334,0
0.961894376,2,0.23272385,0.193216757,0.543859873,0.153143881,0.425940606,0.697003754,0
0.964306982,2,0.447290628,0.210362035,0.457713218,0.384920632,0.657652664,0.84263385,0
0.96404759,1,0.485584793,0.334707028,0.204750562,0.307395818,0.820291821,0.512146379,0
0.985729416,4,0.388030437,0.095336934,0.301601119,0.580425908,0.483367371,0.882027027,0
0.987095556,1,0.567976345,0.030259617,0.272312055,0.660779469,0.598235962,0.933091524,0
0.974588985,0,0.0521589,0.481681486,0.294953382,0.51228475,0.533840385,0.807238132,0
0.964863245,4,0.383941084,0.294501936,0.421037305,0.395161589,0.67844302,0.816198894,0
0.981703338,0,0.310445322,0.430964729,0.152353625,0.634195476,0.74141005,0.786549101,0
0.976300699,3,0.666486432,0.320691927,0.607345197,0.103704083,0.987178359,0.71104928,0
0.973283607,1,0.44101972,0.143871652,0.458082958,0.191910107,0.584891372,0.649993065,0
0.973090193,2,0.369984358,0.372547802,0.068661801,0.257917047,0.74253216,0.326578848,0
0.981366586,4,0.004406023,0.085171122,0.613668977,0.146425244,0.089577145,0.760094221,0
0.974394352,0,0.592325514,0.163426378,0.39073645,0.116860587,0.755751892,0.507597037,0
0.984516716,3,0.217014522,0.185815318,0.053896268,0.442529686,0.40282984,0.496425954,0
0.985021226,2,0.60756508,0.021604143,0.374256008,0.625652243,0.629169223,0.999908251,0
0.964023383,1,0.074634404,0.257559587,0.455700058,0.383237933,0.332193991,0.838937992,0
